startpoint,Latitude,Longitude,endpoint,Latitude,Longitude
가락IC,35.165139,128.896716,가락JC,35.1683133,128.8940987
기계JC,36.0863,129.176,기계JC,36.0863,129.176
가락2JC,35.1621,128.8888,가락2IC,35.1621,128.8888
가락JC,35.1683133,128.8940987,서부산IC,35.1558884,128.9519315
가산IC,36.0965744,128.5333614,가락2JC,35.1621,128.8888
가산JC,36.097527,128.535221,장유IC,35.1979085,128.8071939
가조IC,35.7014455,128.0209208,가산JC,36.097527,128.535221
감곡IC,37.1244345,127.6701927,다부IC,36.0475799,128.5169477
강릉IC,37.7498528,128.8387279,가산IC,36.0965744,128.5333614
강릉JC,37.7498528,128.8387279,군위IC,36.1622,128.5485
강진무위사IC,34.7388087,126.6867287,군위입구JC,36.1622,128.5485
강촌IC,37.7341372,127.6240684,거창IC,35.6867229,127.9095155
거창IC,35.6867229,127.9095155,해인사IC,35.7148355,128.1708508
건천IC,35.843278,129.087849,여주JC,37.2328366,127.5902528
경기광주IC,37.4475268,127.2711666,충주JC,37.040326,127.740369
경기광주JC,37.4171413,127.2561413,강릉JC,37.7498528,128.8387279
경산IC,35.877022,128.787177,남강릉IC,37.694305,128.890919
경주IC,35.8079821,129.184336,강릉IC,37.7498528,128.8387279
계룡IC,36.25179,127.281775,대관령IC,37.6840536,128.7541269
고덕IC,36.7578784,126.7013798,북강릉IC,37.8350642,128.8145053
고령IC,35.7015052,128.2499548,서영암IC,34.7370902,126.5710531
고령JC,35.757723,128.3725805,장흥IC,34.6816856,126.9069278
고서JC,35.2245672,126.9600059,남춘천IC,37.7516924,127.7239192
고성IC,35.0079227,128.3492141,설악IC,37.6692816,127.4954439
고창IC,35.4406198,126.664112,가조IC,35.7014455,128.0209208
고창JC,35.4164281,126.6540302,함양JC,35.5346554,127.7698657
고흥IC,34.8243,127.344,경주IC,35.8079821,129.184336
곡성IC,35.2267381,127.2220644,북안JC,35.9273,129.0108
곤양IC,35.0566879,127.9664153,경기광주JC,37.4171413,127.2561413
곤지암IC,37.3521227,127.3210533,산곡JC,37.4822998,127.2418073
곤지암JC,37.3487202,127.3440759,경기광주IC,37.4475268,127.2711666
공주IC,36.4914458,127.1215409,곤지암IC,37.3521227,127.3210533
공주2JC,36.4838,127.0904,초월IC,37.373394,127.30001
공주3JC,36.4849,127.0923,동대구JC,35.887474,128.694347
공주JC,36.4856127,127.0918494,영천IC,35.92238,128.95146
광양IC,34.972997,127.6037571,건천IC,35.843278,129.087849
광재IC,35.3052,128.8963,활천IC,35.712424,129.19018
광주TG,35.2518,126.8085,서대전JC,36.2940842,127.3160831
광천IC,36.4982135,126.5852035,양촌IC,36.158575,127.218341
괴산IC,36.8678036,127.9215091,면천IC,36.8234251,126.6476055
구례화엄사IC,35.2501831,127.4182397,예산수덕사IC,36.6767785,126.775347
구미IC,36.1090141,128.3608497,동고령IC,35.7534455,128.3591652
구병산IC,36.4694895,127.8616372,남성주IC,35.8430175,128.3242216
군북IC,35.2815843,128.3246813,옥포JC,35.792776,128.4635432
군산IC,36.0093872,126.799279,현풍JC,35.6749,128.4347
군위IC,36.1622,128.5485,담양JC,35.2518975,126.9697821
군위입구JC,36.1622,128.5485,동광주IC,35.184877,126.9278989
군위출구JC,36.1622,128.5485,창평IC,35.2328725,127.0021684
군자IC,37.3577,126.7804,동고성IC,35.0079227,128.3492141
군포IC,37.3258965,126.9220928,연화산IC,35.0826,128.1914
근덕IC,37.3920557,129.2045262,고창JC,35.4164281,126.6540302
금강IC,36.2792033,127.6689108,선운산IC,35.508056,126.571111
금강휴게소IC,36.2790015,127.6720316,고창IC,35.4406198,126.664112
금곡IC,37.2845063,126.9493967,남고창IC,35.4004,126.6783
금산IC,36.103965,127.519715,영광IC,35.3000793,126.5584866
금산사IC,35.7365066,126.9889068,남순천IC,34.9880493,127.5157372
금왕꽃동네IC,36.9548,127.5513,벌교IC,34.8475775,127.3416
금정IC,35.2785,129.1092,석곡IC,35.1283,127.2472
금호JC,35.8930152,128.5255345,옥과IC,35.2590935,127.1133794
기장일광IC,35.2638381,129.2322589,진교IC,35.0417442,127.9060047
기장일광입구IC,35.2638381,129.2322589,축동IC,35.0861024,128.0428518
기장철마IC,35.2842,129.1483,곤지암JC,37.3487202,127.3440759
기흥IC,37.2224679,127.1010506,신둔IC,37.2924,127.3795
기흥동탄IC,37.2165797,127.0972178,공주2JC,36.4838,127.0904
김제IC,35.7752244,127.0020157,서세종IC,36.4958,127.1938
김천IC,36.1339229,128.0932077,공주IC,36.4914458,127.1215409
김천JC,36.1595897,128.2665516,공주3JC,36.4849,127.0923
김해JC,35.2285451,128.8893517,공주JC,36.4856127,127.0918494
김해가야휴게소IC,35.269696,129.0029837,북공주JC,36.509699,127.110916
김해부산IC,35.2285451,128.8893517,남공주IC,36.425688,127.087582
나주IC,35.1019107,126.6962562,서공주JC,36.4854177,127.0624911
낙동JC,36.3660922,128.2391318,동광양IC,34.9638878,127.6503085
낙동강JC,36.3708,128.2549,순천2JC,34.94961,127.5520681
남강릉IC,37.694305,128.890919,대감JC,35.2698,128.9829
남경주IC,35.7497623,129.3155014,한림IC,35.2952,128.8132
남고창IC,35.4004,126.6783,장성IC,35.285558,126.786961
남공주IC,36.425688,127.087582,대천IC,36.3333999,126.574931
남광명IC,37.4397147,126.8501522,홍성IC,36.592285,126.5601756
남구미IC,36.0698245,128.3692666,연풍IC,36.7592069,127.9919776
남군포IC,37.3243193,126.9263501,충주IC,37.019155,127.839742
남김천IC,36.0589073,128.2678599,서남원IC,35.3613907,127.3366335
남논산하IC,36.1870656,127.0987453,황전IC,35.1468628,127.4566554
남대구IC,35.8370497,128.5275915,남구미IC,36.0698245,128.3692666
남대구JC,35.8372,128.5266,북구미IC,36.143275,128.301848
남대전IC,36.2649794,127.4740965,속리산IC,36.4556565,127.7877002
남밀양IC,35.4509335,128.7736345,화서IC,36.4425223,127.9624338
남봉담IC,37.2289923,126.9566755,장지IC,35.2924721,128.3380131
남비봉팔탄IC,37.199,126.8884,지수IC,35.2249,128.272
남상주IC,36.367757,128.14028,동군산IC,35.9457288,126.8342773
남성주IC,35.8430175,128.3242216,동서천JC,36.0587142,126.7722247
남세종IC,36.425,127.2911,의성IC,36.2908853,128.5807959
남순천IC,34.9880493,127.5157372,동군위JC,36.1983404,128.558745
남안동IC,36.4760583,128.6207312,서안산IC,37.3510025,126.8040759
남안산IC,37.3282157,126.7564291,동군포JC,37.3616703,126.9351741
남안성IC,36.9763893,127.2434047,둔대JC,37.3223411,126.9053723
남양산IC,35.3253697,129.0256144,삼척IC,37.4558117,129.1692884
남양양IC,37.914785,128.789914,금강휴게소IC,36.2790015,127.6720316
남양주IC,37.6005894,127.1543125,옥천IC,36.3168635,127.5580037
남양평IC,37.4810821,127.4670721,금강IC,36.2792033,127.6689108
남여주IC,37.253639,127.589034,청성JC,36.2714,127.7417
남원IC,35.4299669,127.3984869,동안산당수IC,37.3007,126.9364
남원JC,35.4055516,127.3066352,봉담IC,37.2289923,126.9566755
남원주IC,37.324054,127.9300507,무주IC,35.977236,127.645935
남이JC,36.597355,127.4209259,추부IC,36.192921,127.485191
남이천IC,37.1848845,127.4420854,김제IC,35.7752244,127.0020157
남제천IC,37.0765609,128.1812837,태인IC,35.6611812,126.9272202
남지IC,35.3995732,128.4823855,대소JC,36.9413,127.4727
남진례IC,35.2617056,128.755197,음성IC,36.9815316,127.4708271
남천안IC,36.7546925,127.1650573,기장철마IC,35.2842,129.1483
남청주IC,36.53288,127.425204,노포JC,35.285107,129.10072
남춘천IC,37.7516924,127.7239192,북대구IC,35.9088199,128.5803067
남칠곡IC,35.9358992,128.5354768,서대구JC,35.8767395,128.5305901
남포항IC,35.9238314,129.3956027,칠곡IC,35.9358992,128.5354768
남풍세IC,36.722181,127.139558,칠곡JC,35.9076,128.4915
내장산IC,35.4797022,126.8879786,서포항IC,36.0700627,129.2212972
내촌IC,37.7885778,128.1393254,임고IC,36.0557474,129.010245
냉정JC,35.2201279,128.7948333,기장일광입구IC,35.2638381,129.2322589
노은JC,37.0361,127.8043,장안IC,35.3284011,129.2367057
노포IC,35.2870145,129.1006362,해운대송정IC,35.1895773,129.1991164
노포JC,35.285107,129.10072,기장일광IC,35.2638381,129.2322589
노포JC2,35.2863,129.101,금정IC,35.2785,129.1092
노포JC4,35.2866,129.1014,기흥동탄IC,37.2165797,127.0972178
논산IC,36.1222683,127.1343273,수원신갈IC,37.2662959,127.1039379
논산JC,36.0819671,127.1025814,기흥IC,37.2224679,127.1010506
다부IC,36.0475799,128.5169477,동탄JC,37.17782,127.09599
단성IC,35.2896878,127.952966,금산사IC,35.7365066,126.9889068
단양IC,36.9178613,128.3636597,서전주IC,35.8264688,127.0332891
달성IC,35.7683625,128.4742928,동김천IC,36.1339229,128.0932077
달성JC,35.7683,128.4745,추풍령IC,36.1995523,128.0018813
담양IC,35.2804776,126.9796693,남김천IC,36.0589073,128.2678599
담양JC,35.2518975,126.9697821,선산IC,36.240311,128.26293
당진IC,36.893758,126.710095,대동JC,35.2829,128.9855
당진JC,36.850338,126.6190797,동김해IC,35.2249627,128.9063505
대감JC,35.2698,128.9829,북부산IC,35.2213,128.9412
대관령IC,37.6840536,128.7541269,노포JC4,35.2866,129.1014
대구IC,35.8714354,128.601445,상동IC,35.3190078,128.9433723
대덕JC,35.2465,127.0356,문평IC,35.0671632,126.5972387
대동IC,35.2588768,128.9829536,서광산IC,35.1183816,126.7324468
대동JC,35.2829,128.9855,낙동강JC,36.3708,128.2549
대소IC,36.979337,127.465378,도개IC,36.3126,128.3183
대소JC,36.9411,127.4719,낙동JC,36.3660922,128.2391318
대신IC,37.3845,127.5815,남상주IC,36.367757,128.14028
대전IC,36.3632727,127.4511516,상주IC,36.4228349,128.2132715
대천IC,36.3333999,126.574931,상주JC,36.374984,128.275147
대청IC,35.1789,128.7853,옥계IC,37.6194559,129.037185
덕유산IC,35.860556,127.746389,동경주IC,35.7820511,129.4243189
덕평IC,37.2417203,127.3637468,범서IC,35.6178,129.2834
덕평휴게소IC,37.2412764,127.3901886,장성물류IC,35.3503,126.7613
도개IC,36.3126,128.3183,탄천IC,36.298232,127.06729
도동JC,35.9127098,128.6625211,동시흥IC,37.4558229,126.797157
도척IC,37.2995,127.3313,구미IC,36.1090141,128.3608497
동경주IC,35.7820511,129.4243189,왜관IC,35.9771,128.4327
동고령IC,35.7534455,128.3591652,김천JC,36.1595897,128.2665516
동고성IC,35.0079227,128.3492141,성주IC,35.9192848,128.2491711
동곤지암IC,37.3521227,127.3210533,논산JC,36.0819671,127.1025814
동광산IC,35.144,126.7534,남대구JC,35.8372,128.5266
동광양IC,34.9638878,127.6503085,남대구IC,35.8370497,128.5275915
동광주IC,35.184877,126.9278989,유천JC,35.8122,128.5031
동군산IC,35.9457288,126.8342773,산내JC,36.2816,127.4524
동군위IC,36.1983404,128.558745,밀양IC,35.5020389,128.7912704
동군위JC,36.1983404,128.558745,삼랑진IC,35.4001626,128.8204927
동군포IC,37.3288131,126.9362858,청요서IC,37.2061,126.9046
동군포JC,37.3616703,126.9351741,화성JC,37.1979085,126.9635012
동김천IC,36.1339229,128.0932077,청요동IC,37.2065,126.9048
동김해IC,35.2249627,128.9063505,팔탄JC,37.2037917,126.8703253
동남원IC,35.4773,127.4795,고령JC,35.757723,128.3725805
동대구IC,35.8659659,128.6862423,유성JC,36.3898786,127.3403837
동대구JC,35.887474,128.694347,고흥IC,34.8243,127.344
동둔내IC,37.4926775,128.2060468,서안동IC,36.5882671,128.6279773
동명동호IC,35.9649,128.5526,안동JC,36.434393,128.623547
동명동호JC,35.9733,128.5512,서시흥IC,37.4558229,126.797157
동밀양JC,35.5082,128.8324,송산마도IC,37.2117435,126.7541471
동산IC,37.7571,127.74,북진천IC,36.9455912,127.4506078
동산JC,37.7562,127.8197,서안성IC,37.0336864,127.1598279
동상주IC,36.3834564,128.2798897,물금IC,35.3081493,129.0120328
동서울IC,37.5170175,127.2208084,양산JC,35.331863,129.043523
동서천IC,36.0425497,126.7851961,하조대IC,38.022808,128.697523
동서천JC,36.0587142,126.7722247,화도IC,37.6316995,127.310963
동수원IC,37.3000686,127.0496645,북여주IC,37.3725962,127.5266717
동순천IC,34.94961,127.5520681,양평IC,37.521443,127.449776
동시흥IC,37.4558229,126.797157,서여주IC,37.3050221,127.5823071
동안동IC,36.4458,128.8944,남원JC,35.4055516,127.3066352
동안산당수IC,37.3007,126.9364,동남원IC,35.4773,127.4795
동양평IC,37.3995,127.7523,남원IC,35.4299669,127.3984869
동여주IC,37.2527242,127.6534128,북남원IC,35.4413,127.313
동영천IC,35.9222974,128.9508825,순창IC,35.3626651,127.1462626
동오창JC,36.7422993,127.4545528,만종JC,37.3649,127.9025
동전주IC,35.8468579,127.1898292,신림IC,37.2255967,128.0877605
동창원IC,35.2779526,128.6947578,서청주IC,36.6529039,127.4214521
동청송영양IC,36.4981012,129.1220708,청주IC,36.6268508,127.3832065
동충주IC,37.066255,127.930544,청주JC,36.5646925,127.4315369
동탄IC,37.2165797,127.0972178,일죽IC,37.0915457,127.4506592
동탄(가)IC,37.2040251,127.066971,호법JC,37.2360277,127.4267964
동탄JC,37.17782,127.09599,북단양IC,37.0140983,128.2882752
동함평IC,35.050831,126.5456329,제천JC,37.082353,128.173935
동해IC,37.514019,129.096938,영산IC,35.4551226,128.5110758
동홍천IC,37.7586406,127.9652844,칠서IC,35.328832,128.5052742
둔내IC,37.4926775,128.2060468,대청IC,35.1789,128.7853
둔대JC,37.3223411,126.9053723,진례JC,35.2490716,128.747734
둔산IC,35.9014,128.69,천안JC,36.7680801,127.1805832
마곡사IC,36.5585432,127.0120353,신탄진IC,36.4391797,127.4234855
마곡사JC,36.5585432,127.0120353,강촌IC,37.7341372,127.6240684
마도IC,37.1879,126.7864,동산JC,37.7562,127.8197
마도JC,37.1876,126.7761,정안IC,36.625082,127.120398
마도동IC,37.1879,126.7876,백양사IC,35.4289846,126.8038212
마도서IC,37.1882,126.7881,정읍IC,35.5799671,126.8327035
마산IC,35.2520372,128.5959344,동홍천IC,37.7586406,127.9652844
마성IC,37.2832674,127.1755416,인제IC,37.914759,128.2858839
마장JC,37.2574,127.412,서김해IC,35.2207677,128.8461063
만종JC,37.3649,127.9025,도척IC,37.2995,127.3313
망상IC,37.584,129.0928,동충주IC,37.066255,127.930544
매송IC,37.2776242,126.8972633,북충주2JC,37.0371,127.797
면온IC,37.5613944,128.3653905,북충주JC,37.0371,127.797
면천IC,36.8234251,126.6476055,중앙탑IC,37.0225,127.8385
목천IC,36.7597206,127.2179965,노포JC2,35.2863,129.101
목포IC,34.840854,126.4243717,김해가야휴게소IC,35.269696,129.0029837
무안IC,35.0069464,126.4922223,노포IC,35.2870145,129.1006362
무안공항IC,34.9904542,126.4816856,부산IC,35.1795543,129.0756416
무주IC,35.977236,127.645935,논산IC,36.1222683,127.1343273
무창포IC,36.2388833,126.5611292,익산IC,35.985794,127.115404
문경새재IC,36.7003551,128.1113012,동명동호JC,35.9733,128.5512
문막IC,37.3116369,127.8262833,산청IC,35.4281141,127.8596656
문산IC,35.172011,128.1592553,서진주IC,35.1835075,128.0407661
문수IC,35.517129,129.249477,풍기IC,36.8485,128.5274
문의청남대IC,36.4618125,127.4891875,달성JC,35.7683,128.4745
문평IC,35.0671632,126.5972387,달성IC,35.7683625,128.4742928
물금IC,35.3081493,129.0120328,북현풍JC,35.7053,128.4379
밀양IC,35.5020389,128.7912704,고서JC,35.2245672,126.9600059
밀양JC,35.519366,128.796403,담양IC,35.2804776,126.9796693
밀양입구JC,35.5072,128.7959,대덕JC,35.2465,127.0356
밀양출구JC,35.523,128.7954,북광주IC,35.2614506,126.893678
발안IC,37.1246148,126.881769,당진JC,36.850338,126.6190797
배내골IC,35.5233825,129.0084195,송악IC,36.9351916,126.7797285
백양사IC,35.4289846,126.8038212,당진IC,36.893758,126.710095
벌교IC,34.8475775,127.3416,서산IC,36.8071202,126.5717244
범서IC,35.6178,129.2834,광재IC,35.3052,128.8963
보성IC,34.7714563,127.0798944,대동IC,35.2588768,128.9829536
보은IC,36.4568495,127.71954,진부IC,37.6518038,128.5616187
봉담IC,37.2289923,126.9566755,동대구IC,35.8659659,128.6862423
봉담(가)IC,37.220154,126.9502589,수성IC,35.8350808,128.6933536
부곡IC,37.3243419,126.9602281,김해JC,35.2285451,128.8893517
부산IC,35.1795543,129.0756416,김해부산IC,35.2285451,128.8893517
부안IC,35.7269484,126.7694002,삼성IC,37.020525,127.499524
부여IC,36.297785,126.851833,금왕꽃동네IC,36.9548,127.5513
북강릉IC,37.8350642,128.8145053,대소IC,36.979337,127.465378
북공주JC,36.509699,127.110916,진천IC,36.8693508,127.475052
북광주IC,35.2614506,126.893678,동여주IC,37.2527242,127.6534128
북구미IC,36.143275,128.301848,흥천이포IC,37.3784,127.5162
북남원IC,35.4413,127.313,비룡JC,36.3443311,127.4826213
북다사IC,35.8842,128.4628,회덕JC,36.4043227,127.4192646
북단양IC,37.0140983,128.2882752,광천IC,36.4982135,126.5852035
북달성IC,35.7683625,128.4742928,무창포IC,36.2388833,126.5611292
북대구IC,35.9088199,128.5803067,남진례IC,35.2617056,128.755197
북대전IC,36.4115156,127.3817125,진해IC,35.1330251,128.7100381
북무안IC,35.0133,126.4318,장수JC,35.731752,127.606757
북부산IC,35.2213,128.9412,덕평휴게소IC,37.2412764,127.3901886
북상주IC,36.5305711,128.169856,양지IC,37.2394693,127.2943369
북수원IC,37.3188708,126.9902808,덕평IC,37.2417203,127.3637468
북안IC,35.9278,129.0112,서군위IC,36.1983404,128.558745
북안JC,35.9273,129.0108,청통와촌IC,35.9704838,128.8292537
북양양IC,38.1545715,128.5860145,팔공산IC,35.9065157,128.6413566
북여주IC,37.3725962,127.5266717,포곡IC,37.2796,127.2127
북영천IC,36.0320892,128.9154938,남경주IC,35.7497623,129.3155014
북영천JC,36.0320892,128.9154938,남포항IC,35.9238314,129.3956027
북오산IC,37.1864314,127.0548999,고령IC,35.7015052,128.2499548
북원주IC,37.4195977,127.9206044,고성IC,35.0079227,128.3492141
북의성IC,36.2908853,128.5807959,북통영IC,34.8955,128.407
북진천IC,36.9455912,127.4506078,광양IC,34.972997,127.6037571
북창원IC,35.2864222,128.6055992,옥곡IC,34.9861917,127.7087469
북천안IC,36.8983657,127.1836803,군산IC,36.0093872,126.799279
북충주IC,37.0371,127.797,서김제IC,35.8352699,126.839613
북충주2JC,37.0371,127.797,신녕IC,36.0453438,128.7897497
북충주JC,37.0371,127.797,군위출구JC,36.1622,128.5485
북통영IC,34.8955,128.407,동군위IC,36.1983404,128.558745
북평택IC,37.0665683,126.9927598,군포IC,37.3258965,126.9220928
북현풍IC,35.6759005,128.4346602,동군포IC,37.3288131,126.9362858
북현풍JC,35.7053,128.4379,부곡IC,37.3243419,126.9602281
불갑산IC,35.1907313,126.5650998,김천IC,36.1339229,128.0932077
비룡JC,36.3443311,127.4826213,지리산IC,35.483936,127.5886064
비봉IC,37.2423227,126.8819602,대구IC,35.8714354,128.601445
사천IC,35.1133222,128.086597,경산IC,35.877022,128.787177
산곡JC,37.4822998,127.2418073,도동JC,35.9127098,128.6625211
산내JC,36.2816,127.4524,상매JC,35.8921,128.7019
산인IC,35.2716,128.4716,둔내IC,37.4926775,128.2060468
산인2JC,35.2715,128.4677,면온IC,37.5613944,128.3653905
산인JC,35.2714,128.4729,동명동호IC,35.9649,128.5526
